phoneId,number,type,carrier
PH000001,815-555-9300,work,AT&T
PH000002,309-555-2149,home,US Cellular
PH000003,217-555-9704,home,AT&T
PH000004,847-555-9942,mobile,Sprint
PH000005,312-555-1732,mobile,Sprint
PH000006,773-555-4898,mobile,T-Mobile
PH000007,309-555-4872,work,US Cellular
PH000008,309-555-6986,home,US Cellular
PH000009,309-555-2725,work,T-Mobile
PH000010,773-555-6891,work,US Cellular
PH000011,773-555-8798,mobile,AT&T
PH000012,217-555-5442,home,Sprint
PH000013,309-555-7523,mobile,Verizon
PH000014,312-555-4468,mobile,Verizon
PH000015,309-555-2574,mobile,Sprint
PH000016,312-555-3056,mobile,Sprint
PH000017,312-555-4909,home,AT&T
PH000018,312-555-5059,mobile,T-Mobile
PH000019,217-555-7667,work,US Cellular
PH000020,773-555-4841,home,T-Mobile
PH000021,309-555-3264,home,Verizon
PH000022,217-555-5120,mobile,T-Mobile
PH000023,847-555-6300,mobile,AT&T
PH000024,815-555-2505,mobile,T-Mobile
PH000025,815-555-6718,mobile,T-Mobile
PH000026,847-555-7719,mobile,AT&T
PH000027,309-555-6983,mobile,Verizon
PH000028,630-555-6341,home,T-Mobile
PH000029,217-555-5426,mobile,US Cellular
PH000030,312-555-4991,home,AT&T
PH000031,312-555-4637,home,US Cellular
PH000032,309-555-7513,mobile,AT&T
PH000033,309-555-7421,mobile,Sprint
PH000034,309-555-6842,home,Sprint
PH000035,815-555-9445,home,Verizon
PH000036,217-555-6941,mobile,AT&T
PH000037,217-555-8476,home,Sprint
PH000038,312-555-9392,home,US Cellular
PH000039,309-555-8633,mobile,US Cellular
PH000040,773-555-8163,mobile,T-Mobile
PH000041,630-555-6493,work,Verizon
PH000042,309-555-7595,mobile,US Cellular
PH000043,630-555-9022,mobile,US Cellular
PH000044,630-555-2396,work,T-Mobile
PH000045,312-555-2774,mobile,US Cellular
PH000046,312-555-7703,mobile,AT&T
PH000047,312-555-8208,mobile,T-Mobile
PH000048,773-555-7053,mobile,US Cellular
PH000049,815-555-9881,mobile,US Cellular
PH000050,630-555-2256,work,US Cellular
PH000051,847-555-9898,mobile,US Cellular
PH000052,309-555-8161,mobile,Sprint
PH000053,630-555-4779,mobile,T-Mobile
PH000054,309-555-9327,work,AT&T
PH000055,630-555-5645,home,T-Mobile
PH000056,773-555-3654,mobile,Sprint
PH000057,312-555-8018,mobile,AT&T
PH000058,815-555-8593,home,Verizon
PH000059,309-555-2092,work,AT&T
PH000060,815-555-1700,home,T-Mobile
PH000061,630-555-2168,work,Sprint
PH000062,217-555-4522,mobile,US Cellular
PH000063,217-555-1264,mobile,Sprint
PH000064,312-555-1181,mobile,Sprint
PH000065,217-555-2670,mobile,AT&T
PH000066,630-555-9602,mobile,US Cellular
PH000067,217-555-2097,mobile,T-Mobile
PH000068,815-555-8317,mobile,Sprint
PH000069,773-555-6214,work,US Cellular
PH000070,773-555-3306,mobile,AT&T
PH000071,217-555-3282,home,Verizon
PH000072,773-555-2768,home,Verizon
PH000073,312-555-2130,mobile,AT&T
PH000074,773-555-6711,home,US Cellular
PH000075,773-555-3237,work,T-Mobile
PH000076,217-555-1264,mobile,US Cellular
PH000077,217-555-9590,mobile,US Cellular
PH000078,217-555-1754,work,T-Mobile
PH000079,312-555-6642,home,Sprint
PH000080,773-555-6487,work,Verizon
PH000081,773-555-1426,work,Sprint
PH000082,630-555-1884,work,AT&T
PH000083,217-555-2799,mobile,Sprint
PH000084,847-555-4540,mobile,Sprint
PH000085,217-555-3804,home,T-Mobile
PH000086,630-555-3476,work,AT&T
PH000087,773-555-3216,home,Sprint
PH000088,630-555-3575,mobile,US Cellular
PH000089,773-555-7007,home,Sprint
PH000090,773-555-5736,home,Verizon
PH000091,815-555-1699,work,Sprint
PH000092,847-555-4848,work,Verizon
PH000093,312-555-5455,mobile,T-Mobile
PH000094,815-555-4636,mobile,Verizon
PH000095,309-555-4676,mobile,US Cellular
PH000096,773-555-6324,mobile,AT&T
PH000097,309-555-1246,work,Sprint
PH000098,217-555-6384,home,AT&T
PH000099,630-555-5869,home,Verizon
PH000100,815-555-2199,home,AT&T
PH000101,309-555-9046,home,US Cellular
PH000102,312-555-2016,work,Verizon
PH000103,815-555-7975,home,AT&T
PH000104,309-555-6352,work,US Cellular
PH000105,217-555-6678,mobile,AT&T
PH000106,217-555-5625,work,Verizon
PH000107,847-555-4732,mobile,Verizon
PH000108,773-555-3437,mobile,Verizon
PH000109,847-555-1431,work,Sprint
PH000110,773-555-3699,home,Sprint
PH000111,217-555-4359,mobile,AT&T
PH000112,847-555-1629,mobile,US Cellular
PH000113,312-555-3943,mobile,Verizon
PH000114,815-555-3430,mobile,US Cellular
PH000115,312-555-9700,mobile,Verizon
PH000116,309-555-5924,mobile,Sprint
PH000117,630-555-7965,work,Sprint
PH000118,773-555-6406,mobile,Sprint
PH000119,312-555-9173,mobile,Verizon
PH000120,309-555-4771,work,Verizon
PH000121,847-555-6675,home,Verizon
PH000122,309-555-2511,mobile,AT&T
PH000123,217-555-1557,mobile,Verizon
PH000124,847-555-7198,mobile,AT&T
PH000125,217-555-5557,mobile,Verizon
PH000126,217-555-9071,work,US Cellular
PH000127,309-555-3630,work,US Cellular
PH000128,217-555-5144,mobile,Verizon
PH000129,773-555-5757,home,AT&T
PH000130,847-555-4317,mobile,AT&T
PH000131,815-555-8624,mobile,Verizon
PH000132,630-555-4199,mobile,US Cellular
PH000133,815-555-7987,work,US Cellular
PH000134,773-555-8971,mobile,US Cellular
PH000135,773-555-3930,mobile,AT&T
PH000136,773-555-6638,mobile,AT&T
PH000137,847-555-2124,mobile,Sprint
PH000138,312-555-4003,home,T-Mobile
PH000139,847-555-7965,mobile,Verizon
PH000140,309-555-4341,mobile,Sprint
PH000141,217-555-7588,home,T-Mobile
PH000142,217-555-7439,mobile,T-Mobile
PH000143,217-555-2653,home,Verizon
PH000144,630-555-8116,mobile,Verizon
PH000145,630-555-1816,mobile,T-Mobile
PH000146,630-555-6861,mobile,US Cellular
PH000147,773-555-5426,home,Verizon
PH000148,309-555-2318,home,US Cellular
PH000149,217-555-1005,home,Sprint
PH000150,847-555-2655,mobile,Sprint
PH000151,847-555-2965,home,Sprint
PH000152,309-555-8696,home,T-Mobile
PH000153,815-555-5261,mobile,AT&T
PH000154,312-555-9987,mobile,Sprint
PH000155,815-555-5397,mobile,Sprint
PH000156,312-555-9623,mobile,US Cellular
PH000157,847-555-8755,mobile,AT&T
PH000158,217-555-2832,mobile,Sprint
PH000159,773-555-9673,work,US Cellular
PH000160,630-555-6389,home,T-Mobile
PH000161,630-555-5363,mobile,Verizon
PH000162,309-555-7517,home,US Cellular
PH000163,217-555-7535,work,AT&T
PH000164,847-555-3708,mobile,AT&T
PH000165,773-555-4772,mobile,Sprint
PH000166,217-555-8824,work,Sprint
PH000167,847-555-6503,home,Sprint
PH000168,773-555-3898,home,Verizon
PH000169,217-555-2487,work,T-Mobile
PH000170,630-555-1168,home,Verizon
PH000171,309-555-4077,mobile,Verizon
PH000172,847-555-7650,work,AT&T
PH000173,847-555-5141,home,Sprint
PH000174,630-555-1969,mobile,AT&T
PH000175,815-555-2954,mobile,AT&T
PH000176,312-555-8080,mobile,Sprint
PH000177,773-555-9524,mobile,AT&T
PH000178,815-555-9166,mobile,Verizon
PH000179,847-555-9204,mobile,Sprint
PH000180,312-555-6102,work,T-Mobile
PH000181,217-555-2025,mobile,Sprint
PH000182,773-555-1005,mobile,Verizon
PH000183,773-555-2267,work,Verizon
PH000184,847-555-8623,home,T-Mobile
PH000185,815-555-6521,mobile,AT&T
PH000186,309-555-4317,mobile,AT&T
PH000187,815-555-9005,mobile,US Cellular
PH000188,773-555-9797,mobile,US Cellular
PH000189,309-555-1292,work,T-Mobile
PH000190,815-555-2152,mobile,US Cellular
PH000191,630-555-4803,mobile,Verizon
PH000192,815-555-4645,mobile,Sprint
PH000193,847-555-6771,mobile,Verizon
PH000194,309-555-3684,home,T-Mobile
PH000195,773-555-7389,home,T-Mobile
PH000196,630-555-4151,mobile,Sprint
PH000197,312-555-4669,mobile,AT&T
PH000198,630-555-6127,mobile,Verizon
PH000199,217-555-1350,mobile,US Cellular
PH000200,847-555-5230,mobile,AT&T
PH000201,847-555-3160,work,Sprint
PH000202,309-555-5486,mobile,Verizon
PH000203,309-555-1677,work,AT&T
PH000204,312-555-4918,work,Verizon
PH000205,815-555-3409,mobile,AT&T
PH000206,217-555-1870,work,Sprint
PH000207,309-555-1780,home,T-Mobile
PH000208,312-555-6066,work,Sprint
PH000209,312-555-8178,work,AT&T
PH000210,815-555-3212,mobile,US Cellular
PH000211,773-555-5139,mobile,Verizon
PH000212,815-555-3113,work,Verizon
PH000213,217-555-6312,mobile,Verizon
PH000214,312-555-3483,home,AT&T
PH000215,309-555-6877,work,T-Mobile
PH000216,312-555-6196,mobile,US Cellular
PH000217,815-555-4088,home,AT&T
PH000218,630-555-1583,mobile,Verizon
PH000219,217-555-8945,mobile,Sprint
PH000220,773-555-8231,mobile,Sprint
PH000221,815-555-6557,work,T-Mobile
PH000222,630-555-9871,mobile,US Cellular
PH000223,847-555-8933,mobile,Sprint
PH000224,309-555-9092,work,T-Mobile
PH000225,773-555-5337,mobile,AT&T
PH000226,217-555-1243,work,Verizon
PH000227,309-555-1439,work,AT&T
PH000228,847-555-7414,mobile,AT&T
PH000229,815-555-1422,home,AT&T
PH000230,773-555-5596,mobile,T-Mobile
PH000231,312-555-6236,mobile,Verizon
PH000232,773-555-5566,work,AT&T
PH000233,847-555-8042,work,Sprint
PH000234,630-555-8291,mobile,Verizon
PH000235,815-555-7065,work,US Cellular
PH000236,630-555-1539,home,T-Mobile
PH000237,630-555-2902,mobile,US Cellular
PH000238,312-555-6877,mobile,AT&T
PH000239,309-555-3768,mobile,US Cellular
PH000240,773-555-3816,mobile,AT&T
PH000241,312-555-2430,mobile,AT&T
PH000242,815-555-9733,home,Sprint
PH000243,773-555-7891,mobile,T-Mobile
PH000244,847-555-7620,mobile,T-Mobile
PH000245,217-555-2562,home,AT&T
PH000246,312-555-3873,work,AT&T
PH000247,630-555-7256,mobile,T-Mobile
PH000248,217-555-5902,mobile,Sprint
PH000249,630-555-7670,mobile,Verizon
PH000250,773-555-6512,mobile,US Cellular
PH000251,630-555-5380,mobile,US Cellular
PH000252,217-555-4042,home,Verizon
PH000253,847-555-6575,mobile,T-Mobile
PH000254,630-555-4961,home,Verizon
PH000255,217-555-8578,work,AT&T
PH000256,773-555-6884,mobile,Verizon
PH000257,630-555-7479,mobile,Verizon
PH000258,847-555-4386,mobile,Sprint
PH000259,309-555-6937,work,US Cellular
PH000260,309-555-7547,mobile,T-Mobile
PH000261,217-555-8538,mobile,US Cellular
PH000262,847-555-5877,home,Verizon
