person1Ssn,person2Ssn
201-95-1545,999-46-6446
999-46-6446,201-95-1545
379-83-7335,904-84-2781
904-84-2781,379-83-7335
350-38-2408,767-84-2840
767-84-2840,350-38-2408
998-61-5844,342-30-1533
342-30-1533,998-61-5844
154-76-5133,467-24-3796
467-24-3796,154-76-5133
214-16-4729,565-47-2267
565-47-2267,214-16-4729
337-34-1256,284-57-4232
284-57-4232,337-34-1256
969-56-3734,866-39-9142
866-39-9142,969-56-3734
115-56-6692,397-83-1172
397-83-1172,115-56-6692
160-24-8274,148-41-8458
148-41-8458,160-24-8274
564-80-2180,861-68-7046
861-68-7046,564-80-2180
520-38-3978,209-36-2101
209-36-2101,520-38-3978
346-65-3350,717-27-7540
717-27-7540,346-65-3350
428-39-1398,143-15-1131
143-15-1131,428-39-1398
141-20-2824,901-27-4455
901-27-4455,141-20-2824
198-19-3780,809-12-6557
809-12-6557,198-19-3780
523-52-4546,564-83-6384
564-83-6384,523-52-4546
951-33-6716,743-69-7584
743-69-7584,951-33-6716
213-77-9397,472-78-8960
472-78-8960,213-77-9397
195-70-5249,592-11-9429
592-11-9429,195-70-5249
257-24-4717,506-93-7948
506-93-7948,257-24-4717
765-34-6595,552-30-2715
552-30-2715,765-34-6595
744-44-7580,825-54-9190
825-54-9190,744-44-7580
787-69-3532,963-36-8829
963-36-8829,787-69-3532
811-31-5267,710-89-3841
710-89-3841,811-31-5267
525-86-9072,320-54-5288
320-54-5288,525-86-9072
300-31-5755,256-93-6507
256-93-6507,300-31-5755
492-65-8349,362-21-4855
362-21-4855,492-65-8349
248-75-8933,161-63-8938
161-63-8938,248-75-8933
194-33-7365,524-12-2042
524-12-2042,194-33-7365
921-27-4414,258-30-6966
258-30-6966,921-27-4414
384-80-9510,573-94-1273
573-94-1273,384-80-9510
971-18-4842,333-46-9509
333-46-9509,971-18-4842
843-67-4050,924-42-5358
924-42-5358,843-67-4050
581-19-7728,343-74-1766
343-74-1766,581-19-7728
540-76-9373,259-78-5470
259-78-5470,540-76-9373
836-41-2168,413-45-4930
413-45-4930,836-41-2168
464-18-2629,833-34-8156
833-34-8156,464-18-2629
125-70-5680,796-77-7600
796-77-7600,125-70-5680
495-18-1970,577-48-9657
577-48-9657,495-18-1970
207-78-5254,844-70-5162
844-70-5162,207-78-5254
640-47-6315,194-63-5118
194-63-5118,640-47-6315
433-13-7957,274-83-5526
274-83-5526,433-13-7957
235-10-8699,307-20-6836
307-20-6836,235-10-8699
613-48-1665,114-41-5742
114-41-5742,613-48-1665
331-44-9857,403-73-1491
403-73-1491,331-44-9857
275-35-7928,154-77-6585
154-77-6585,275-35-7928
587-11-7903,358-34-9907
358-34-9907,587-11-7903
197-74-8045,831-83-8961
831-83-8961,197-74-8045
209-50-8154,712-30-4053
712-30-4053,209-50-8154
829-29-1746,148-76-6389
