person1Ssn,person2Ssn,type,since
185-94-7430,806-91-1154,undisclosed,2018-06-20
975-80-8188,183-20-8766,undisclosed,2022-09-02
212-29-1557,302-82-6688,undisclosed,2022-09-27
490-34-6130,229-67-8507,undisclosed,2019-06-05
266-12-7102,983-86-3781,undisclosed,2020-04-03
459-82-4423,539-84-7542,undisclosed,2019-10-12
428-69-9936,524-18-5041,undisclosed,2022-05-24
162-38-8611,361-71-6055,undisclosed,2019-10-16
821-38-8150,969-52-2757,undisclosed,2019-11-17
696-44-9676,561-77-3844,undisclosed,2019-02-02
827-43-9449,612-25-2971,undisclosed,2018-10-17
621-80-6048,303-18-2980,undisclosed,2020-01-10
830-84-4945,352-81-8268,undisclosed,2021-09-16
896-67-4005,510-23-2151,undisclosed,2021-11-02
219-65-9854,103-31-2607,undisclosed,2020-05-11
336-24-7501,973-69-1906,undisclosed,2022-01-05
204-82-7698,609-19-8576,undisclosed,2021-08-31
886-63-3690,722-12-6941,undisclosed,2018-09-24
132-79-7905,970-77-7934,undisclosed,2019-03-23
988-26-4997,420-89-5886,undisclosed,2022-04-20
721-65-9562,258-91-3774,undisclosed,2022-03-24
874-29-3904,854-70-7445,undisclosed,2022-03-13
945-95-5316,566-78-9737,undisclosed,2020-03-16
426-27-5637,729-61-3983,undisclosed,2018-02-02
850-15-7218,457-77-5765,undisclosed,2022-02-26
334-41-5749,292-79-3114,undisclosed,2022-07-01
845-54-5379,263-16-6265,undisclosed,2020-01-29
894-27-7533,635-73-5705,undisclosed,2018-09-26
385-73-2110,213-14-9471,undisclosed,2022-06-29
617-41-8400,180-55-1129,undisclosed,2022-07-04
321-82-9699,463-84-7127,undisclosed,2020-10-23
404-67-6511,904-26-3818,undisclosed,2019-12-13
149-18-2773,695-89-7681,undisclosed,2021-02-16
611-79-5642,836-12-9772,undisclosed,2022-09-10
626-63-8641,972-47-8776,undisclosed,2019-04-02
143-46-3110,939-57-3081,undisclosed,2020-06-28
909-63-2904,479-99-6944,undisclosed,2022-03-14
818-41-9061,707-75-1946,undisclosed,2018-03-10
199-14-2017,117-55-8911,undisclosed,2020-07-11
161-30-4608,232-94-4740,undisclosed,2018-08-06
450-47-6476,841-82-5221,undisclosed,2019-05-07
264-46-4092,268-36-7554,undisclosed,2021-04-17
846-27-5128,847-79-3546,undisclosed,2018-06-23
565-65-6165,382-93-7140,undisclosed,2019-05-09
321-76-3462,339-47-2132,undisclosed,2022-12-24
697-98-1728,469-12-6461,undisclosed,2022-07-30
172-47-2221,201-42-4781,undisclosed,2020-03-27
355-67-5009,448-66-3734,undisclosed,2019-08-10
142-92-7427,121-19-6444,undisclosed,2022-10-03
181-73-4564,827-31-2362,undisclosed,2019-02-22
366-24-1428,960-59-8602,undisclosed,2018-11-26
400-75-6706,689-77-4085,undisclosed,2018-05-19
961-24-7090,926-19-1380,undisclosed,2018-05-13
222-93-5576,185-42-6692,undisclosed,2020-08-17
208-84-5451,422-56-4346,undisclosed,2019-09-07
692-43-1435,828-64-3617,undisclosed,2019-11-20
948-18-4230,165-15-8186,undisclosed,2020-11-12
513-33-7944,415-75-1992,undisclosed,2021-08-24
242-38-9063,474-59-7359,undisclosed,2021-01-29
936-80-6719,409-68-8012,undisclosed,2022-11-24
658-17-9585,794-85-6159,undisclosed,2020-04-30
819-67-5348,617-52-9746,undisclosed,2018-02-03
761-82-3210,505-75-2915,undisclosed,2021-09-20
805-39-8163,288-23-4255,undisclosed,2019-11-29
405-55-4850,202-45-9235,undisclosed,2019-12-19
713-24-5109,423-55-9825,undisclosed,2018-08-11
867-62-8241,442-45-9757,undisclosed,2018-07-18
579-74-8199,139-26-3643,undisclosed,2021-01-20
462-44-9445,819-43-8408,undisclosed,2021-09-17
853-95-5385,366-10-5774,undisclosed,2019-04-29
109-22-5282,579-53-4767,undisclosed,2018-12-21
648-44-9004,534-47-3108,undisclosed,2019-02-15
183-31-6375,984-57-4237,undisclosed,2019-06-10
381-95-7216,651-37-5619,undisclosed,2021-12-04
168-48-9804,799-12-4857,undisclosed,2022-10-04
519-54-3749,462-62-4604,undisclosed,2022-09-21
143-69-9780,310-48-3757,undisclosed,2018-04-20
802-19-8929,884-13-3450,undisclosed,2020-06-15
318-50-3476,106-74-4933,undisclosed,2018-11-25
551-87-6680,908-50-6725,undisclosed,2021-11-22
373-23-8924,948-25-9954,undisclosed,2022-03-06
223-55-9335,753-63-4886,undisclosed,2018-09-17
166-37-6446,203-46-2285,undisclosed,2022-05-21
440-75-7437,825-15-6518,undisclosed,2022-03-21
333-49-1516,890-11-4540,undisclosed,2020-11-28
492-93-2033,871-60-4358,undisclosed,2022-06-05
593-95-7255,312-27-8818,undisclosed,2019-06-28
950-98-7762,251-32-9178,undisclosed,2019-12-24
954-98-8255,945-66-5019,undisclosed,2018-07-04
499-99-7017,627-67-2746,undisclosed,2018-10-24
426-29-5820,132-41-9557,undisclosed,2022-05-24
940-10-7225,926-34-9562,undisclosed,2019-12-15
615-82-6588,442-71-9436,undisclosed,2022-07-24
214-67-3560,869-78-2164,undisclosed,2018-01-29
301-73-9696,274-84-5740,undisclosed,2022-10-09
804-41-1759,633-97-9850,undisclosed,2020-03-11
393-52-8483,528-38-2236,undisclosed,2018-10-10
934-97-8985,918-91-5714,undisclosed,2018-10-02
113-22-6032,961-22-8183,undisclosed,2018-02-12
305-31-8607,688-50-5290,undisclosed,2020-03-23
382-40-7415,874-61-1182,undisclosed,2018-01-13
120-47-4921,750-55-2771,undisclosed,2020-06-24
774-33-5110,553-96-3814,undisclosed,2019-06-25
502-43-4815,421-49-2478,undisclosed,2018-05-21
918-21-6051,282-86-1271,undisclosed,2019-07-13
402-90-6469,234-34-6861,undisclosed,2019-11-08
762-55-8387,662-65-9125,undisclosed,2022-12-12
496-25-9853,120-24-1730,undisclosed,2019-07-10
286-23-1097,986-30-4732,undisclosed,2019-05-21
290-81-1468,755-69-5646,undisclosed,2021-04-03
282-30-9537,397-29-5147,undisclosed,2020-09-07
889-51-3678,984-29-5457,undisclosed,2018-05-11
925-98-2918,755-59-4827,undisclosed,2021-02-17
660-54-4280,949-11-1788,undisclosed,2020-11-26
362-51-7422,818-72-9927,undisclosed,2018-11-25
992-13-7865,249-54-1037,undisclosed,2020-05-07
