personSsn,addressId,since,isPrimary
588-17-3644,ADDR000001,2023-09-18,true
476-83-8895,ADDR000002,2023-08-02,true
367-52-1992,ADDR000003,2022-06-08,true
950-92-5434,ADDR000004,2022-08-29,true
344-19-3814,ADDR000005,2023-09-05,true
213-54-4134,ADDR000006,2024-09-19,true
145-99-5022,ADDR000007,2024-03-14,true
671-52-1070,ADDR000008,2023-02-09,true
958-48-9788,ADDR000009,2024-05-30,true
781-12-7368,ADDR000010,2022-12-30,true
757-98-7511,ADDR000011,2022-02-17,true
733-46-7538,ADDR000012,2022-06-05,true
139-40-6943,ADDR000013,2023-07-22,true
875-41-8158,ADDR000014,2024-08-05,true
496-27-3756,ADDR000015,2024-01-06,true
411-12-1212,ADDR000016,2023-12-20,true
593-73-2190,ADDR000017,2023-09-26,true
375-97-1008,ADDR000018,2024-09-03,true
485-18-5724,ADDR000019,2022-09-27,true
784-81-4247,ADDR000020,2022-12-09,true
844-32-3346,ADDR000021,2024-07-18,true
364-95-7571,ADDR000022,2023-07-19,true
743-91-7182,ADDR000023,2023-02-22,true
866-62-7035,ADDR000024,2023-01-27,true
566-36-8436,ADDR000025,2023-09-15,true
612-24-3319,ADDR000026,2024-11-21,true
620-50-4109,ADDR000027,2024-12-14,true
598-80-3622,ADDR000028,2023-01-08,true
963-98-5178,ADDR000029,2023-02-11,true
682-99-7963,ADDR000030,2023-04-03,true
105-60-9088,ADDR000031,2023-03-26,true
712-17-8016,ADDR000032,2022-08-20,true
304-39-7171,ADDR000033,2023-12-03,true
141-38-7199,ADDR000034,2022-10-28,true
831-21-9884,ADDR000035,2022-06-23,true
203-20-1955,ADDR000036,2022-10-01,true
746-95-6303,ADDR000037,2022-01-11,true
163-39-9386,ADDR000038,2022-05-14,true
994-48-7144,ADDR000039,2022-08-15,true
388-47-1698,ADDR000040,2023-11-23,true
639-85-2649,ADDR000041,2024-01-15,true
440-21-9221,ADDR000042,2022-05-20,true
742-28-4187,ADDR000043,2024-09-18,true
904-89-3456,ADDR000044,2024-04-25,true
209-69-6165,ADDR000045,2022-11-07,true
423-97-2366,ADDR000046,2022-01-17,true
639-15-1309,ADDR000047,2024-05-06,true
218-41-2993,ADDR000048,2022-04-15,true
887-44-9029,ADDR000049,2023-03-23,true
481-55-1979,ADDR000050,2022-06-05,true
545-94-4834,ADDR000051,2022-09-05,true
970-56-2749,ADDR000052,2023-10-21,true
519-64-9103,ADDR000053,2022-08-11,true
408-53-4140,ADDR000054,2022-05-18,true
906-84-5593,ADDR000055,2022-03-03,true
211-32-1889,ADDR000056,2023-09-25,true
507-18-6413,ADDR000057,2023-08-07,true
127-29-8829,ADDR000058,2023-11-05,true
539-81-4577,ADDR000059,2022-10-26,true
120-64-8135,ADDR000060,2022-03-05,true
572-96-8829,ADDR000061,2022-07-05,true
757-44-2559,ADDR000062,2023-12-28,true
616-76-3225,ADDR000063,2022-06-27,true
594-91-9623,ADDR000064,2023-01-21,true
699-19-3018,ADDR000065,2023-01-26,true
997-37-9592,ADDR000066,2024-04-25,true
998-89-2457,ADDR000067,2024-03-16,true
365-11-6760,ADDR000068,2023-09-26,true
680-14-2541,ADDR000069,2024-09-29,true
204-79-9368,ADDR000070,2024-01-10,true
210-47-4276,ADDR000071,2024-05-27,true
632-98-5778,ADDR000072,2024-03-26,true
657-46-2580,ADDR000073,2024-10-23,true
344-14-2686,ADDR000074,2022-01-17,true
815-77-5159,ADDR000075,2022-03-28,true
344-40-4994,ADDR000076,2024-04-04,true
398-74-6272,ADDR000077,2024-08-31,true
704-48-8166,ADDR000078,2024-02-19,true
748-27-7329,ADDR000079,2022-04-11,true
566-72-2598,ADDR000080,2023-05-02,true
224-95-6122,ADDR000081,2024-01-22,true
377-39-2485,ADDR000082,2024-02-13,true
968-81-4119,ADDR000083,2022-05-29,true
221-28-3668,ADDR000084,2023-07-22,true
253-76-3059,ADDR000085,2024-03-26,true
923-69-3805,ADDR000086,2023-11-28,true
709-63-8627,ADDR000087,2024-03-26,true
239-34-6868,ADDR000088,2024-06-14,true
565-84-3551,ADDR000089,2024-01-19,true
912-40-6928,ADDR000090,2024-09-27,true
949-47-5420,ADDR000091,2023-04-02,true
352-75-1891,ADDR000092,2022-10-10,true
750-59-7804,ADDR000093,2023-03-23,true
773-81-2576,ADDR000094,2022-06-23,true
252-44-2397,ADDR000095,2022-05-06,true
339-10-5172,ADDR000096,2024-07-28,true
961-20-5928,ADDR000097,2022-11-27,true
112-28-4395,ADDR000098,2024-11-02,true
583-28-6076,ADDR000099,2022-06-22,true
176-26-6209,ADDR000100,2022-11-02,true
393-69-8122,ADDR000101,2022-06-02,true
705-94-5937,ADDR000102,2022-06-14,true
649-75-2168,ADDR000103,2022-09-03,true
148-69-3964,ADDR000104,2024-04-30,true
790-39-2521,ADDR000105,2024-09-19,true
502-31-8465,ADDR000106,2022-08-25,true
186-92-6520,ADDR000107,2024-05-17,true
261-88-9091,ADDR000108,2024-03-13,true
380-77-5160,ADDR000109,2022-10-14,true
871-91-1418,ADDR000110,2023-03-16,true
741-43-9786,ADDR000111,2023-08-07,true
311-93-2949,ADDR000112,2024-11-25,true
801-99-9129,ADDR000113,2022-07-05,true
636-68-5059,ADDR000114,2023-06-10,true
651-82-3732,ADDR000115,2023-07-18,true
944-12-5465,ADDR000116,2024-07-03,true
310-74-5574,ADDR000117,2023-12-11,true
117-66-8869,ADDR000118,2023-06-05,true
144-62-9333,ADDR000119,2024-09-23,true
417-19-5809,ADDR000120,2024-10-12,true
205-85-9498,ADDR000121,2022-10-09,true
789-16-2620,ADDR000122,2022-01-09,true
100-30-1467,ADDR000123,2024-09-18,true
766-43-3242,ADDR000124,2022-06-23,true
243-19-3204,ADDR000125,2022-09-25,true
857-28-7659,ADDR000126,2022-10-28,true
250-13-3330,ADDR000127,2024-07-08,true
751-45-6105,ADDR000128,2022-04-23,true
526-70-2311,ADDR000129,2023-02-05,true
188-16-4717,ADDR000130,2024-10-17,true
254-54-6340,ADDR000131,2023-04-06,true
860-82-3678,ADDR000132,2024-01-28,true
900-64-5761,ADDR000133,2024-07-13,true
684-45-1113,ADDR000134,2024-08-18,true
485-88-2216,ADDR000135,2022-08-15,true
298-78-3522,ADDR000136,2022-09-24,true
338-20-2469,ADDR000137,2024-03-02,true
454-53-6326,ADDR000138,2024-09-30,true
232-27-5787,ADDR000139,2023-12-29,true
188-76-5200,ADDR000140,2023-08-12,true
526-26-4786,ADDR000141,2024-02-27,true
677-38-4855,ADDR000142,2024-08-30,true
471-98-8005,ADDR000143,2022-12-09,true
325-66-7225,ADDR000144,2022-08-10,true
322-49-6612,ADDR000145,2022-12-15,true
442-42-4987,ADDR000146,2024-09-14,true
539-93-9805,ADDR000147,2022-04-08,true
515-23-2387,ADDR000148,2023-02-25,true
505-36-3335,ADDR000149,2022-08-28,true
441-18-6357,ADDR000150,2023-09-07,true
395-73-2674,ADDR000151,2022-05-04,true
467-78-4877,ADDR000152,2024-03-06,true
298-63-9250,ADDR000153,2024-04-16,true
420-65-1818,ADDR000154,2024-04-11,true
358-88-4684,ADDR000155,2024-10-21,true
467-23-3888,ADDR000156,2024-08-21,true
292-15-1637,ADDR000157,2022-11-03,true
883-25-8167,ADDR000158,2023-02-15,true
721-60-9423,ADDR000159,2023-05-21,true
564-23-1793,ADDR000160,2024-04-07,true
553-20-6857,ADDR000161,2022-07-29,true
388-64-7101,ADDR000162,2023-06-05,true
108-59-6630,ADDR000163,2023-08-20,true
896-83-3075,ADDR000164,2023-01-11,true
886-66-8828,ADDR000165,2023-10-06,true
969-69-6071,ADDR000166,2022-04-02,true
124-43-3792,ADDR000167,2022-10-03,true
132-22-6410,ADDR000168,2024-07-03,true
451-18-1368,ADDR000169,2024-02-21,true
778-52-5214,ADDR000170,2022-12-25,true
239-28-5418,ADDR000171,2023-02-06,true
677-61-4647,ADDR000172,2024-12-09,true
825-95-2348,ADDR000173,2024-05-22,true
513-71-3412,ADDR000174,2022-03-15,true
293-60-4241,ADDR000175,2023-01-20,true
256-21-1459,ADDR000176,2023-08-20,true
