personSsn,accountNumber,isPrimary
588-17-3644,ACCT00000001,true
476-83-8895,ACCT00000002,true
367-52-1992,ACCT00000003,true
950-92-5434,ACCT00000004,true
344-19-3814,ACCT00000005,true
213-54-4134,ACCT00000006,true
145-99-5022,ACCT00000007,true
671-52-1070,ACCT00000008,true
958-48-9788,ACCT00000009,true
781-12-7368,ACCT00000010,true
757-98-7511,ACCT00000011,true
733-46-7538,ACCT00000012,true
139-40-6943,ACCT00000013,true
875-41-8158,ACCT00000014,true
496-27-3756,ACCT00000015,true
411-12-1212,ACCT00000016,true
593-73-2190,ACCT00000017,true
375-97-1008,ACCT00000018,true
485-18-5724,ACCT00000019,true
784-81-4247,ACCT00000020,true
844-32-3346,ACCT00000021,true
364-95-7571,ACCT00000022,true
743-91-7182,ACCT00000023,true
866-62-7035,ACCT00000024,true
566-36-8436,ACCT00000025,true
612-24-3319,ACCT00000026,true
620-50-4109,ACCT00000027,true
598-80-3622,ACCT00000028,true
963-98-5178,ACCT00000029,true
682-99-7963,ACCT00000030,true
105-60-9088,ACCT00000031,true
712-17-8016,ACCT00000032,true
304-39-7171,ACCT00000033,true
141-38-7199,ACCT00000034,true
831-21-9884,ACCT00000035,true
203-20-1955,ACCT00000036,true
746-95-6303,ACCT00000037,true
163-39-9386,ACCT00000038,true
994-48-7144,ACCT00000039,true
388-47-1698,ACCT00000040,true
639-85-2649,ACCT00000041,true
440-21-9221,ACCT00000042,true
742-28-4187,ACCT00000043,true
904-89-3456,ACCT00000044,true
209-69-6165,ACCT00000045,true
423-97-2366,ACCT00000046,true
639-15-1309,ACCT00000047,true
218-41-2993,ACCT00000048,true
887-44-9029,ACCT00000049,true
481-55-1979,ACCT00000050,true
545-94-4834,ACCT00000051,true
970-56-2749,ACCT00000052,true
519-64-9103,ACCT00000053,true
408-53-4140,ACCT00000054,true
906-84-5593,ACCT00000055,true
211-32-1889,ACCT00000056,true
507-18-6413,ACCT00000057,true
127-29-8829,ACCT00000058,true
539-81-4577,ACCT00000059,true
120-64-8135,ACCT00000060,true
572-96-8829,ACCT00000061,true
757-44-2559,ACCT00000062,true
616-76-3225,ACCT00000063,true
594-91-9623,ACCT00000064,true
699-19-3018,ACCT00000065,true
997-37-9592,ACCT00000066,true
998-89-2457,ACCT00000067,true
365-11-6760,ACCT00000068,true
680-14-2541,ACCT00000069,true
204-79-9368,ACCT00000070,true
210-47-4276,ACCT00000071,true
632-98-5778,ACCT00000072,true
657-46-2580,ACCT00000073,true
344-14-2686,ACCT00000074,true
815-77-5159,ACCT00000075,true
344-40-4994,ACCT00000076,true
398-74-6272,ACCT00000077,true
704-48-8166,ACCT00000078,true
748-27-7329,ACCT00000079,true
566-72-2598,ACCT00000080,true
224-95-6122,ACCT00000081,true
377-39-2485,ACCT00000082,true
968-81-4119,ACCT00000083,true
221-28-3668,ACCT00000084,true
253-76-3059,ACCT00000085,true
923-69-3805,ACCT00000086,true
709-63-8627,ACCT00000087,true
239-34-6868,ACCT00000088,true
565-84-3551,ACCT00000089,true
912-40-6928,ACCT00000090,true
949-47-5420,ACCT00000091,true
352-75-1891,ACCT00000092,true
750-59-7804,ACCT00000093,true
773-81-2576,ACCT00000094,true
252-44-2397,ACCT00000095,true
339-10-5172,ACCT00000096,true
961-20-5928,ACCT00000097,true
112-28-4395,ACCT00000098,true
583-28-6076,ACCT00000099,true
176-26-6209,ACCT00000100,true
393-69-8122,ACCT00000101,true
705-94-5937,ACCT00000102,true
649-75-2168,ACCT00000103,true
148-69-3964,ACCT00000104,true
790-39-2521,ACCT00000105,true
502-31-8465,ACCT00000106,true
186-92-6520,ACCT00000107,true
261-88-9091,ACCT00000108,true
380-77-5160,ACCT00000109,true
871-91-1418,ACCT00000110,true
741-43-9786,ACCT00000111,true
311-93-2949,ACCT00000112,true
801-99-9129,ACCT00000113,true
636-68-5059,ACCT00000114,true
651-82-3732,ACCT00000115,true
944-12-5465,ACCT00000116,true
310-74-5574,ACCT00000117,true
117-66-8869,ACCT00000118,true
144-62-9333,ACCT00000119,true
417-19-5809,ACCT00000120,true
205-85-9498,ACCT00000121,true
789-16-2620,ACCT00000122,true
100-30-1467,ACCT00000123,true
766-43-3242,ACCT00000124,true
243-19-3204,ACCT00000125,true
857-28-7659,ACCT00000126,true
250-13-3330,ACCT00000127,true
751-45-6105,ACCT00000128,true
526-70-2311,ACCT00000129,true
188-16-4717,ACCT00000130,true
254-54-6340,ACCT00000131,true
860-82-3678,ACCT00000132,true
900-64-5761,ACCT00000133,true
684-45-1113,ACCT00000134,true
485-88-2216,ACCT00000135,true
298-78-3522,ACCT00000136,true
338-20-2469,ACCT00000137,true
454-53-6326,ACCT00000138,true
232-27-5787,ACCT00000139,true
188-76-5200,ACCT00000140,true
526-26-4786,ACCT00000141,true
677-38-4855,ACCT00000142,true
471-98-8005,ACCT00000143,true
325-66-7225,ACCT00000144,true
322-49-6612,ACCT00000145,true
442-42-4987,ACCT00000146,true
539-93-9805,ACCT00000147,true
515-23-2387,ACCT00000148,true
505-36-3335,ACCT00000149,true
441-18-6357,ACCT00000150,true
395-73-2674,ACCT00000151,true
467-78-4877,ACCT00000152,true
298-63-9250,ACCT00000153,true
420-65-1818,ACCT00000154,true
358-88-4684,ACCT00000155,true
467-23-3888,ACCT00000156,true
292-15-1637,ACCT00000157,true
883-25-8167,ACCT00000158,true
721-60-9423,ACCT00000159,true
564-23-1793,ACCT00000160,true
553-20-6857,ACCT00000161,true
388-64-7101,ACCT00000162,true
108-59-6630,ACCT00000163,true
896-83-3075,ACCT00000164,true
886-66-8828,ACCT00000165,true
969-69-6071,ACCT00000166,true
124-43-3792,ACCT00000167,true
