personSsn,householdId,role,since
588-17-3644,HH000001,head,2023-09-18
476-83-8895,HH000002,head,2023-08-02
367-52-1992,HH000003,head,2022-06-08
950-92-5434,HH000004,head,2022-08-29
344-19-3814,HH000005,head,2023-09-05
213-54-4134,HH000006,head,2024-09-19
145-99-5022,HH000007,head,2024-03-14
671-52-1070,HH000008,head,2023-02-09
958-48-9788,HH000009,head,2024-05-30
781-12-7368,HH000010,head,2022-12-30
757-98-7511,HH000011,head,2022-02-17
733-46-7538,HH000012,head,2022-06-05
139-40-6943,HH000013,head,2023-07-22
875-41-8158,HH000014,head,2024-08-05
496-27-3756,HH000015,head,2024-01-06
411-12-1212,HH000016,head,2023-12-20
593-73-2190,HH000017,head,2023-09-26
375-97-1008,HH000018,head,2024-09-03
485-18-5724,HH000019,head,2022-09-27
784-81-4247,HH000020,head,2022-12-09
844-32-3346,HH000021,head,2024-07-18
364-95-7571,HH000022,head,2023-07-19
743-91-7182,HH000023,head,2023-02-22
866-62-7035,HH000024,head,2023-01-27
566-36-8436,HH000025,head,2023-09-15
612-24-3319,HH000026,head,2024-11-21
620-50-4109,HH000027,head,2024-12-14
598-80-3622,HH000028,head,2023-01-08
963-98-5178,HH000029,head,2023-02-11
682-99-7963,HH000030,head,2023-04-03
105-60-9088,HH000031,head,2023-03-26
712-17-8016,HH000032,head,2022-08-20
304-39-7171,HH000033,head,2023-12-03
141-38-7199,HH000034,head,2022-10-28
831-21-9884,HH000035,head,2022-06-23
203-20-1955,HH000036,head,2022-10-01
746-95-6303,HH000037,head,2022-01-11
163-39-9386,HH000038,head,2022-05-14
994-48-7144,HH000039,head,2022-08-15
388-47-1698,HH000040,head,2023-11-23
639-85-2649,HH000041,head,2024-01-15
440-21-9221,HH000042,head,2022-05-20
742-28-4187,HH000043,head,2024-09-18
904-89-3456,HH000044,head,2024-04-25
209-69-6165,HH000045,head,2022-11-07
423-97-2366,HH000046,head,2022-01-17
639-15-1309,HH000047,head,2024-05-06
218-41-2993,HH000048,head,2022-04-15
887-44-9029,HH000049,head,2023-03-23
481-55-1979,HH000050,head,2022-06-05
545-94-4834,HH000051,head,2022-09-05
970-56-2749,HH000052,head,2023-10-21
519-64-9103,HH000053,head,2022-08-11
408-53-4140,HH000054,head,2022-05-18
906-84-5593,HH000055,head,2022-03-03
211-32-1889,HH000056,head,2023-09-25
507-18-6413,HH000057,head,2023-08-07
127-29-8829,HH000058,head,2023-11-05
539-81-4577,HH000059,head,2022-10-26
120-64-8135,HH000060,head,2022-03-05
572-96-8829,HH000061,head,2022-07-05
757-44-2559,HH000062,head,2023-12-28
616-76-3225,HH000063,head,2022-06-27
594-91-9623,HH000064,head,2023-01-21
699-19-3018,HH000065,head,2023-01-26
997-37-9592,HH000066,head,2024-04-25
998-89-2457,HH000067,head,2024-03-16
365-11-6760,HH000068,head,2023-09-26
680-14-2541,HH000069,head,2024-09-29
204-79-9368,HH000070,head,2024-01-10
210-47-4276,HH000071,head,2024-05-27
632-98-5778,HH000072,head,2024-03-26
657-46-2580,HH000073,head,2024-10-23
344-14-2686,HH000074,head,2022-01-17
815-77-5159,HH000075,head,2022-03-28
344-40-4994,HH000076,head,2024-04-04
398-74-6272,HH000077,head,2024-08-31
704-48-8166,HH000078,head,2024-02-19
748-27-7329,HH000079,head,2022-04-11
566-72-2598,HH000080,head,2023-05-02
224-95-6122,HH000081,head,2024-01-22
377-39-2485,HH000082,head,2024-02-13
968-81-4119,HH000083,head,2022-05-29
221-28-3668,HH000084,head,2023-07-22
253-76-3059,HH000085,head,2024-03-26
923-69-3805,HH000086,head,2023-11-28
709-63-8627,HH000087,head,2024-03-26
239-34-6868,HH000088,head,2024-06-14
565-84-3551,HH000089,head,2024-01-19
912-40-6928,HH000090,head,2024-09-27
949-47-5420,HH000091,head,2023-04-02
352-75-1891,HH000092,head,2022-10-10
750-59-7804,HH000093,head,2023-03-23
773-81-2576,HH000094,head,2022-06-23
252-44-2397,HH000095,head,2022-05-06
339-10-5172,HH000096,head,2024-07-28
961-20-5928,HH000097,head,2022-11-27
112-28-4395,HH000098,head,2024-11-02
583-28-6076,HH000099,head,2022-06-22
176-26-6209,HH000100,head,2022-11-02
393-69-8122,HH000101,head,2022-06-02
705-94-5937,HH000102,head,2022-06-14
649-75-2168,HH000103,head,2022-09-03
148-69-3964,HH000104,head,2024-04-30
790-39-2521,HH000105,head,2024-09-19
502-31-8465,HH000106,head,2022-08-25
186-92-6520,HH000107,head,2024-05-17
261-88-9091,HH000108,head,2024-03-13
380-77-5160,HH000109,head,2022-10-14
871-91-1418,HH000110,head,2023-03-16
741-43-9786,HH000111,head,2023-08-07
311-93-2949,HH000112,head,2024-11-25
801-99-9129,HH000113,head,2022-07-05
636-68-5059,HH000114,head,2023-06-10
651-82-3732,HH000115,head,2023-07-18
944-12-5465,HH000116,head,2024-07-03
310-74-5574,HH000117,head,2023-12-11
117-66-8869,HH000118,head,2023-06-05
144-62-9333,HH000119,head,2024-09-23
417-19-5809,HH000120,head,2024-10-12
205-85-9498,HH000121,head,2022-10-09
