personSsn,phoneId,isPrimary
588-17-3644,PH000001,true
476-83-8895,PH000002,true
367-52-1992,PH000003,true
950-92-5434,PH000004,true
344-19-3814,PH000005,true
213-54-4134,PH000006,true
145-99-5022,PH000007,true
671-52-1070,PH000008,true
958-48-9788,PH000009,true
781-12-7368,PH000010,true
757-98-7511,PH000011,true
733-46-7538,PH000012,true
139-40-6943,PH000013,true
875-41-8158,PH000014,true
496-27-3756,PH000015,true
411-12-1212,PH000016,true
593-73-2190,PH000017,true
375-97-1008,PH000018,true
485-18-5724,PH000019,true
784-81-4247,PH000020,true
844-32-3346,PH000021,true
364-95-7571,PH000022,true
743-91-7182,PH000023,true
866-62-7035,PH000024,true
566-36-8436,PH000025,true
612-24-3319,PH000026,true
620-50-4109,PH000027,true
598-80-3622,PH000028,true
963-98-5178,PH000029,true
682-99-7963,PH000030,true
105-60-9088,PH000031,true
712-17-8016,PH000032,true
304-39-7171,PH000033,true
141-38-7199,PH000034,true
831-21-9884,PH000035,true
203-20-1955,PH000036,true
746-95-6303,PH000037,true
163-39-9386,PH000038,true
994-48-7144,PH000039,true
388-47-1698,PH000040,true
639-85-2649,PH000041,true
440-21-9221,PH000042,true
742-28-4187,PH000043,true
904-89-3456,PH000044,true
209-69-6165,PH000045,true
423-97-2366,PH000046,true
639-15-1309,PH000047,true
218-41-2993,PH000048,true
887-44-9029,PH000049,true
481-55-1979,PH000050,true
545-94-4834,PH000051,true
970-56-2749,PH000052,true
519-64-9103,PH000053,true
408-53-4140,PH000054,true
906-84-5593,PH000055,true
211-32-1889,PH000056,true
507-18-6413,PH000057,true
127-29-8829,PH000058,true
539-81-4577,PH000059,true
120-64-8135,PH000060,true
572-96-8829,PH000061,true
757-44-2559,PH000062,true
616-76-3225,PH000063,true
594-91-9623,PH000064,true
699-19-3018,PH000065,true
997-37-9592,PH000066,true
998-89-2457,PH000067,true
365-11-6760,PH000068,true
680-14-2541,PH000069,true
204-79-9368,PH000070,true
210-47-4276,PH000071,true
632-98-5778,PH000072,true
657-46-2580,PH000073,true
344-14-2686,PH000074,true
815-77-5159,PH000075,true
344-40-4994,PH000076,true
398-74-6272,PH000077,true
704-48-8166,PH000078,true
748-27-7329,PH000079,true
566-72-2598,PH000080,true
224-95-6122,PH000081,true
377-39-2485,PH000082,true
968-81-4119,PH000083,true
221-28-3668,PH000084,true
253-76-3059,PH000085,true
923-69-3805,PH000086,true
709-63-8627,PH000087,true
239-34-6868,PH000088,true
565-84-3551,PH000089,true
912-40-6928,PH000090,true
949-47-5420,PH000091,true
352-75-1891,PH000092,true
750-59-7804,PH000093,true
773-81-2576,PH000094,true
252-44-2397,PH000095,true
339-10-5172,PH000096,true
961-20-5928,PH000097,true
112-28-4395,PH000098,true
583-28-6076,PH000099,true
176-26-6209,PH000100,true
393-69-8122,PH000101,true
705-94-5937,PH000102,true
649-75-2168,PH000103,true
148-69-3964,PH000104,true
790-39-2521,PH000105,true
502-31-8465,PH000106,true
186-92-6520,PH000107,true
261-88-9091,PH000108,true
380-77-5160,PH000109,true
