person1Ssn,person2Ssn,confidence,reason
231-84-1471,854-77-1320,0.78,same_dob_similar_name
585-46-2530,774-73-7282,0.88,same_dob_similar_name
585-46-2530,630-73-9839,0.84,same_dob_similar_name
774-73-7282,630-73-9839,0.95,same_dob_similar_name
775-93-8167,305-95-1939,0.75,same_dob_similar_name
957-72-5528,182-15-8414,0.95,same_dob_similar_name
957-72-5528,910-72-7251,0.81,same_dob_similar_name
182-15-8414,910-72-7251,0.79,same_dob_similar_name
308-39-4866,527-18-7388,0.74,same_dob_similar_name
849-62-1650,165-56-8969,0.86,same_dob_similar_name
739-38-9217,755-46-7379,0.75,same_dob_similar_name
595-63-9586,294-45-9347,0.71,same_dob_similar_name
485-61-2933,784-27-2890,0.94,same_dob_similar_name
485-61-2933,420-62-5920,0.77,same_dob_similar_name
784-27-2890,420-62-5920,0.86,same_dob_similar_name
519-94-9475,797-46-4843,0.92,same_dob_similar_name
625-47-9907,895-23-6213,0.71,same_dob_similar_name
625-47-9907,375-65-5614,0.9,same_dob_similar_name
895-23-6213,375-65-5614,0.92,same_dob_similar_name
258-18-8613,776-97-6622,0.87,same_dob_similar_name
444-49-5697,318-91-9281,0.8,same_dob_similar_name
160-70-1269,605-14-8712,0.89,same_dob_similar_name
836-30-9336,328-49-8083,0.8,same_dob_similar_name
836-30-9336,448-18-5669,0.75,same_dob_similar_name
328-49-8083,448-18-5669,0.7,same_dob_similar_name
472-21-5983,753-69-9431,0.78,same_dob_similar_name
472-21-5983,528-12-8100,0.9,same_dob_similar_name
753-69-9431,528-12-8100,0.82,same_dob_similar_name
782-44-8850,899-49-5037,0.78,same_dob_similar_name
782-44-8850,474-88-9539,0.93,same_dob_similar_name
899-49-5037,474-88-9539,0.83,same_dob_similar_name
489-87-1499,148-58-9654,0.88,same_dob_similar_name
407-81-5238,802-21-7972,0.82,same_dob_similar_name
407-81-5238,527-94-5875,0.71,same_dob_similar_name
802-21-7972,527-94-5875,0.86,same_dob_similar_name
577-53-7233,703-60-7213,0.73,same_dob_similar_name
765-70-9604,547-70-6734,0.86,same_dob_similar_name
765-70-9604,887-54-7572,0.81,same_dob_similar_name
547-70-6734,887-54-7572,0.81,same_dob_similar_name
859-58-4613,511-84-6350,0.94,same_dob_similar_name
859-58-4613,856-89-5088,0.87,same_dob_similar_name
511-84-6350,856-89-5088,0.93,same_dob_similar_name
207-22-4061,962-43-7081,0.93,same_dob_similar_name
207-22-4061,842-19-4331,0.72,same_dob_similar_name
962-43-7081,842-19-4331,0.76,same_dob_similar_name
833-47-1251,633-91-8936,0.91,same_dob_similar_name
797-62-7536,327-44-6537,0.86,same_dob_similar_name
743-62-1735,880-93-6803,0.92,same_dob_similar_name
147-99-7234,328-55-7372,0.78,same_dob_similar_name
147-99-7234,135-87-5708,0.88,same_dob_similar_name
328-55-7372,135-87-5708,0.95,same_dob_similar_name
330-15-8252,254-58-7190,0.77,same_dob_similar_name
330-15-8252,941-95-6231,0.85,same_dob_similar_name
254-58-7190,941-95-6231,0.72,same_dob_similar_name
499-12-4513,399-86-7183,0.76,same_dob_similar_name
523-33-9281,575-69-1524,0.76,same_dob_similar_name
523-33-9281,786-96-3754,0.86,same_dob_similar_name
